,block,block,cycle,cycle,integral,integral,integral,integral,seq,seq
,time,value,time,value,a,b,dx,threads,time,value
0,0.0001978874,1.998393722559024,0.0001270771,1.998393722559025,0.000000,3.140000,0.100000,2,0.0000150204,1.998393722559024
0,0.0004870892,1.998393722559024,0.0003769398,1.998393722559024,0.000000,3.140000,0.100000,8,0.0000159740,1.998393722559024
0,0.0001201630,1.999982065043664,0.0000851154,1.999982065043664,0.000000,3.140000,0.010000,2,0.0000269413,1.999982065043665
0,0.0003089905,1.999982065043664,0.0005278587,1.999982065043664,0.000000,3.140000,0.010000,8,0.0000438690,1.999982065043665
0,0.0002348423,1.999998565060974,0.0002169609,1.999998565060973,0.000000,3.140000,0.001000,2,0.0001919270,1.999998565060977
0,0.0003798008,1.999998565060976,0.0003170967,1.999998565060976,0.000000,3.140000,0.001000,8,0.0001428127,1.999998565060977
0,0.0007338524,1.999998730060863,0.0007350445,1.999998730060867,0.000000,3.140000,0.000100,2,0.0012569427,1.999998730060873
0,0.0007178783,1.999998730060873,0.0010919571,1.999998730060873,0.000000,3.140000,0.000100,8,0.0013248920,1.999998730060873
0,0.0066478252,1.999998731710894,0.0079560280,1.999998731710888,0.000000,3.140000,0.000010,2,0.0122139454,1.999998731710868
0,0.0080680847,1.999998731710867,0.0047559738,1.999998731710866,0.000000,3.140000,0.000010,8,0.0123269558,1.999998731710868
0,0.0658190250,1.999998731727412,0.0700387955,1.999998731727429,0.000000,3.140000,0.000001,2,0.1241121292,1.999998731727356
0,0.0489320755,1.999998731727378,0.0597748756,1.999998731727370,0.000000,3.140000,0.000001,8,0.1249158382,1.999998731727356
