2; 10; 0.001000; 0; 6
2; 10; 0.000001; 263; 193
2; 10; 0.00000001; 24974; 15062
2; 50; 0.00100000; 1; 6
2; 50; 0.00000100; 250; 154
2; 50; 0.00000001; 24783; 12742
2; 100; 0.00100000; 1; 5
2; 100; 0.00000001; 25721; 13982
2; 100; 0.00000100; 248; 154
4; 10; 0.00100000; 1; 5
4; 10; 0.00000100; 251; 155
4; 10; 0.00000001; 24675; 10911
4; 50; 0.00100000; 1; 7
4; 50; 0.00000100; 247; 93
4; 50; 0.00000001; 24722; 9727
4; 100; 0.00100000; 1; 11
4; 100; 0.00000100; 242; 97
4; 100; 0.00000001; 25427; 8936
8; 10; 0.00100000; 0; 9
8; 10; 0.00000100; 251; 115
8; 10; 0.00000001; 24915; 8676
8; 50; 0.00100000; 0; 7
8; 50; 0.00000100; 284; 164
8; 50; 0.00000001; 25003; 7644
8; 100; 0.00100000; 1; 6
8; 100; 0.00000100; 269; 186
8; 100; 0.00000001; 25266; 7534
